customer_unique_id,order_id,delivery_delay_days,delay_bucket,lateornot,review_score,has_repurchased
0000366f3b9a7992bf8c76cfdf3221e2,e22acc9c116caa3f2b7121bbb380d08e,-5.0,En avance,0,5.0,0
0000b849f77a49e4a4ce2b2a4ca5be3f,3594e05a005ac4d06a72673270ef9ec9,-5.0,En avance,0,4.0,0
0000f46a3911fa3c0805444483337064,b33ec3b699337181488304f362a6b734,-2.0,À temps,0,3.0,0
0000f6ccb0745a6a4b88665a16c9f078,41272756ecddd9a9ed0180413cc22fb6,-12.0,En avance,0,4.0,0
0004aac84e0df4da2b147fca70cf8255,d957021f1127559cd947b62533f484f7,-8.0,En avance,0,5.0,0
0004bd2a26a76fe21f786e4fbd80607f,3e470077b690ea3e3d501cffb5e0c499,-12.0,En avance,0,4.0,0
00050ab1314c0e55a6ca13cf7181fecf,d0028facea13f508e880202d7097a5a1,-12.0,En avance,0,4.0,0
00053a61a98854899e70ed204dd4bafe,44e608f2db00c74a1fe329de44416a4e,-10.0,En avance,0,1.0,0
0005e1862207bf6ccc02e4228effd9a0,ae76bef74b97bcb0b3e355e60d9a6f9c,-28.0,En avance,0,4.0,0
0005ef4cd20d2893f0d9fbd94d3c0d97,01b330808c5819a6a3cb79b72f0b8288,31.0,>15j retard,1,1.0,0
0006fdc98a402fceb4eb0ee528f6a8d4,6681163e3dab91c549952b2845b20281,-12.0,En avance,0,3.0,0
00082cbe03e478190aadbea78542e933,67503374d1fbcbe5e3a40324f703ffc8,-8.0,En avance,0,5.0,0
00090324bbad0e9342388303bb71ba0a,85bf8863657bff31006811d45d1c8db9,-8.0,En avance,0,5.0,0
000949456b182f53c18b68d6babc79c1,d342d7bad292d68d41d58ffb594cf431,-15.0,En avance,0,4.0,0
000a5ad9c4601d2bbdd9ed765d5213b3,f7fa5cf8386e51037856df1add3e1228,-15.0,En avance,0,4.0,0
000bfa1d2f1a41876493be685390d6d3,fd61441ba2a7b57e6342862e779b10b0,-13.0,En avance,0,5.0,0
000c8bdb58a29e7115cfc257230fb21b,34801c59d6ec5c5e89bfefb6ebef314d,-9.0,En avance,0,5.0,0
000d460961d6dbfa3ec6c9f5805769e1,5fd641e5e16c3b056b1fb4dd6e429c43,-13.0,En avance,0,5.0,0
000de6019bb59f34c099a907c151d855,c6d61340bd8baeedca7cc8e7f7ec07e9,-16.0,En avance,0,2.0,0
000e309254ab1fc5ba99dd469d36bdb4,c5d3fae065a8090bae39f4f34b14cd06,-15.0,En avance,0,3.0,0
000ec5bff359e1c0ad76a81a45cb598f,17e604bb550e265b46ebefe61430751b,-9.0,En avance,0,5.0,0
000ed48ceeb6f4bf8ad021a10a3c7b43,4b2626de72497770ddfa81a533f70c76,-8.0,En avance,0,5.0,0
000fbf0473c10fc1ab6f8d2d286ce20c,87440e08790d85796f5b8bc9f5ed2707,-14.0,En avance,0,5.0,0
0010a452c6d13139e50b57f19f52e04e,57caee5837cc4a8f605f3a83bff208db,-19.0,En avance,0,1.0,0
0010fb34b966d44409382af9e8fd5b77,1fc81b1074b61a259529663946b10a32,2.0,1-5j retard,1,4.0,0
001147e649a7b1afd577e873841632dd,533dbcda0a703be171113573af8b3467,-14.0,En avance,0,4.0,0
00115fc7123b5310cf6d3a3aa932699e,91d1bf2b7745903cb0d17162d1bbd750,-33.0,En avance,0,4.0,0
0011805441c0d1b68b48002f1d005526,fb5d8b462dc9570527eff204b8a1a57b,-13.0,En avance,0,3.0,0
0011857aff0e5871ce5eb429f21cdaf5,58d34816de3da57e9e07d7b34aced1b8,-20.0,En avance,0,5.0,0
0011c98589159d6149979563c504cb21,3147d340c802cf04b463c4a5e532745d,-28.0,En avance,0,5.0,0
0012929d977a8d7280bb277c1e5f589d,569fce9b205731d6e0c9f31e9cabd8f5,-15.0,En avance,0,1.0,0
0014a5a58da615f7b01a4f5e194bf5ea,3eb5983ab1e64ba4a4dd7425a6d6d48b,-7.0,En avance,0,5.0,0
0015752e079902b12cd00b9b7596276b,c97e64988f3d2b091838bb2815fc246b,-4.0,En avance,0,5.0,0
00172711b30d52eea8b313a7f2cced02,bb874c45df1a3c97842d52f31efee99a,-15.0,En avance,0,4.0,0
00191a9719ef48ebb5860b130347bf33,90a2ae3a8c450a4b8baba2fc8eb0fa59,-19.0,En avance,0,3.0,0
001926cef41060fae572e2e7b30bd2a4,6fc8cd5f4cfbea0b694434a10475fd6f,-21.0,En avance,0,4.0,0
001928b561575b2821c92254a2327d06,aa14b8f4567fef1be1a8912ca010f1c7,-11.0,En avance,0,2.0,0
00196c4c9a3af7dd2ad10eade69c926f,1d88068495a8986f241f769664ac98de,-8.0,En avance,0,5.0,0
00196fdb2bf9edfc35e88ebfbcf8d781,3e83ca3523a68abaf07131a5ecab7319,1.0,1-5j retard,1,3.0,0
0019da6aa6bcb27cc32f1249bd12da05,792aa3f0da2e24c9df178369950f2d13,-10.0,En avance,0,1.0,0
0019e8c501c85848ac0966d45226fa1d,18bb4acb90913593d37049c601660009,-20.0,En avance,0,5.0,0
001a2bf0e46c684031af91fb2bce149d,b46c295d27c87441788cfd92b75b1a3d,-18.0,En avance,0,4.0,0
